"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2873","Проверка закрытия модального окна ингредиента","tests","Wed Apr 30 20:37:08 MSK 2025","passed","Wed Apr 30 20:37:11 MSK 2025","TestMainPage","test_main_page","",""
"","3778","Проверка оформления заказа залогиненным пользователем","tests","Wed Apr 30 20:37:25 MSK 2025","passed","Wed Apr 30 20:37:28 MSK 2025","TestMainPage","test_main_page","",""
"","3365","Проверка ввода email и отправки формы восстановления пароля","tests","Wed Apr 30 20:36:30 MSK 2025","passed","Wed Apr 30 20:36:33 MSK 2025","TestPasswordRecovery","test_forgot_password_page","",""
"","2562","Проверка перехода на страницу восстановления пароля","tests","Wed Apr 30 20:36:24 MSK 2025","passed","Wed Apr 30 20:36:26 MSK 2025","TestPasswordRecovery","test_forgot_password_page","",""
"","6967","Проверка отображения заказа из истории пользователя в ленте заказов","tests","Wed Apr 30 20:38:38 MSK 2025","passed","Wed Apr 30 20:38:45 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","6412","Проверка увеличения счётчика общего количества заказов после создания заказа","tests","Wed Apr 30 20:37:54 MSK 2025","passed","Wed Apr 30 20:38:00 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","4241","Проверка открытия модального окна с заказом","tests","Wed Apr 30 20:37:41 MSK 2025","passed","Wed Apr 30 20:37:45 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","839","Проверка перехода в раздел 'История заказов' авторизованного пользователя","tests","Wed Apr 30 20:39:04 MSK 2025","passed","Wed Apr 30 20:39:05 MSK 2025","TestProfilePage","test_profile_page","",""
"","6625","Проверка появления созданного заказа в разделе 'В работе'","tests","Wed Apr 30 20:38:22 MSK 2025","passed","Wed Apr 30 20:38:28 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","3307","Проверка добавления ингредиента в заказ","tests","Wed Apr 30 20:37:15 MSK 2025","passed","Wed Apr 30 20:37:18 MSK 2025","TestMainPage","test_main_page","",""
"","2573","Проверка перехода в раздел 'Конструктор'","tests","Wed Apr 30 20:36:57 MSK 2025","passed","Wed Apr 30 20:36:59 MSK 2025","TestMainPage","test_main_page","",""
"","6916","Проверка увеличения счётчика заказов за сегодня после создания заказа","tests","Wed Apr 30 20:38:07 MSK 2025","passed","Wed Apr 30 20:38:14 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","2795","Проверка открытия модального окна ингредиента","tests","Wed Apr 30 20:37:03 MSK 2025","passed","Wed Apr 30 20:37:05 MSK 2025","TestMainPage","test_main_page","",""
"","4014","Проверка перехода в раздел 'Лента заказов'","tests","Wed Apr 30 20:37:32 MSK 2025","passed","Wed Apr 30 20:37:36 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"","1862","Проверка выхода из аккаунта c переходом на страницу логина","tests","Wed Apr 30 20:36:51 MSK 2025","passed","Wed Apr 30 20:36:53 MSK 2025","TestLoginPage","test_login_page","",""
"","795","Проверка перехода в личный кабинет авторизованного пользователя","tests","Wed Apr 30 20:38:54 MSK 2025","passed","Wed Apr 30 20:38:55 MSK 2025","TestProfilePage","test_profile_page","",""
"","4377","Проверка подсветки поля пароля при переключении видимости","tests","Wed Apr 30 20:36:36 MSK 2025","passed","Wed Apr 30 20:36:41 MSK 2025","TestPasswordRecovery","test_forgot_password_page","",""
